Flight_ID,Date_ID,Airline_ID,Route_ID,Scheduled_Departure_Time,Actual_Departure_Time,Scheduled_Arrival_Time,Actual_Arrival_Time,Delay_Minutes,Weather_Delay_Minutes,Air_Traffic_Delay_Minutes,Carrier_Delay_Minutes,Security_Delay_Minutes,Flight_Status,Passenger_Count
FL0001,1,1,1,2024-02-28 16:38,2024-02-28 16:56,2024-02-28 17:38,2024-02-28 19:27,109,76,33,0,0,Delayed,247
FL0529,2,1,528,2024-06-11 20:02,2024-06-11 20:02,2024-06-11 21:02,2024-06-11 21:48,46,32,14,0,0,Delayed,100
FL0458,3,1,457,2024-02-10 10:14,2024-02-10 10:14,2024-02-10 12:14,2024-02-10 12:14,0,0,0,0,0,On-time,65
FL0924,3,1,920,2024-02-09 21:57,2024-02-09 22:28,2024-02-10 01:57,2024-02-10 01:57,0,0,0,0,0,On-time,97
FL0271,4,1,271,2024-03-04 00:51,2024-03-04 01:13,2024-03-04 02:51,2024-03-04 02:51,0,0,0,0,0,On-time,171
FL0911,4,1,907,2024-03-04 10:25,2024-03-04 10:25,2024-03-04 12:25,2024-03-04 12:25,0,0,0,0,0,On-time,293
FL0322,6,1,322,2024-01-27 09:50,2024-01-27 11:43,2024-01-27 14:50,2024-01-27 14:50,0,0,0,0,0,On-time,141
FL0545,6,1,544,2024-01-27 23:08,2024-01-28 00:10,2024-01-28 02:08,2024-01-28 02:08,0,0,0,0,0,On-time,227
FL0965,10,1,961,2024-01-05 06:53,2024-01-05 06:53,2024-01-05 11:53,2024-01-05 11:53,0,0,0,0,0,On-time,180
FL0215,12,1,215,2024-01-10 12:04,2024-01-10 13:07,2024-01-10 18:04,2024-01-10 19:06,62,60,1,1,0,Delayed,74
FL0352,16,1,352,2024-03-26 07:32,2024-03-26 08:35,2024-03-26 09:32,2024-03-26 09:32,0,0,0,0,0,On-time,134
FL0017,17,1,17,2024-02-20 06:49,2024-02-20 06:49,2024-02-20 07:49,2024-02-20 07:49,0,0,0,0,0,On-time,213
FL0582,17,1,580,2024-02-19 22:58,2024-02-19 22:58,2024-02-20 03:58,2024-02-20 05:51,113,9,50,3,51,Delayed,209
FL0287,18,1,287,2024-04-29 01:59,2024-04-29 03:33,2024-04-29 02:59,2024-04-29 02:59,0,0,0,0,0,On-time,286
FL0019,19,1,19,2024-07-25 09:55,2024-07-25 10:48,2024-07-25 13:55,2024-07-25 13:55,0,0,0,0,0,On-time,205
FL0521,20,1,520,2024-10-23 17:07,2024-10-23 18:14,2024-10-23 23:07,2024-10-23 23:51,44,30,5,1,8,Delayed,229
FL0622,21,1,620,2024-04-16 10:02,2024-04-16 11:21,2024-04-16 11:02,2024-04-16 12:54,112,99,4,0,9,Delayed,69
FL0169,22,1,169,2024-09-27 19:45,2024-09-27 20:22,2024-09-27 23:45,2024-09-27 23:45,0,0,0,0,0,On-time,291
FL0027,26,1,27,2024-05-28 10:31,2024-05-28 11:11,2024-05-28 11:31,2024-05-28 12:58,87,13,66,1,7,Delayed,167
FL0957,27,1,953,2024-12-25 12:57,2024-12-25 12:57,2024-12-25 15:57,2024-12-25 17:52,115,16,25,72,2,Delayed,170
FL0030,28,1,30,2024-04-30 13:34,2024-04-30 14:29,2024-04-30 15:34,2024-04-30 17:03,89,85,2,2,0,Delayed,199
FL0507,28,1,506,2024-04-30 03:13,2024-04-30 03:13,2024-04-30 08:13,2024-04-30 08:13,0,0,0,0,0,On-time,274
FL0731,29,1,728,2024-01-19 03:11,2024-01-19 03:11,2024-01-19 08:11,2024-01-19 08:11,0,0,0,0,0,On-time,277
FL0989,29,1,985,2024-01-19 04:04,2024-01-19 05:02,2024-01-19 05:04,2024-01-19 05:04,0,0,0,0,0,On-time,240
FL0216,30,1,216,2024-06-13 08:27,2024-06-13 08:27,2024-06-13 13:27,2024-06-13 13:59,32,5,8,5,14,Delayed,76
FL0400,30,1,400,2024-06-13 05:05,2024-06-13 05:05,2024-06-13 10:05,2024-06-13 10:05,0,0,0,0,0,On-time,176
FL0388,32,1,388,2024-05-30 15:21,2024-05-30 16:57,2024-05-30 21:21,2024-05-30 21:21,0,0,0,0,0,On-time,62
FL0969,33,1,965,2024-02-10 08:53,2024-02-10 08:53,2024-02-10 10:53,2024-02-10 10:53,0,0,0,0,0,On-time,275
FL0598,34,1,596,2024-01-10 07:44,2024-01-10 07:44,2024-01-10 11:44,2024-01-10 11:44,0,0,0,0,0,On-time,101
FL0037,35,1,37,2024-10-21 08:58,2024-10-21 08:58,2024-10-21 14:58,2024-10-21 16:39,101,54,4,1,42,Delayed,187
FL0338,35,1,338,2024-10-20 16:58,2024-10-20 17:43,2024-10-20 21:58,2024-10-20 21:58,0,0,0,0,0,On-time,268
FL0038,36,1,38,2024-09-02 21:39,2024-09-02 23:23,2024-09-03 00:39,2024-09-03 01:46,67,43,9,5,10,Delayed,276
FL0693,39,1,690,2024-08-10 21:09,2024-08-10 21:27,2024-08-11 03:09,2024-08-11 03:09,0,0,0,0,0,On-time,286
FL0492,40,1,491,2024-11-02 08:35,2024-11-02 08:35,2024-11-02 12:35,2024-11-02 12:35,0,0,0,0,0,On-time,213
FL0846,40,1,842,2024-11-03 08:57,2024-11-03 08:57,2024-11-03 14:57,2024-11-03 14:57,0,0,0,0,0,On-time,295
FL0043,41,1,43,2024-02-14 12:00,2024-02-14 12:00,2024-02-14 15:00,2024-02-14 15:00,0,0,0,0,0,On-time,262
FL0106,42,1,106,2024-07-19 11:27,2024-07-19 11:27,2024-07-19 16:27,2024-07-19 17:55,88,17,71,0,0,Delayed,72
FL0643,43,1,641,2024-05-05 18:15,2024-05-05 19:43,2024-05-05 23:15,2024-05-06 00:05,50,5,23,22,0,Delayed,101
FL0870,44,1,866,2024-05-21 10:07,2024-05-21 10:07,2024-05-21 16:07,2024-05-21 16:07,0,0,0,0,0,On-time,119
FL0149,48,1,149,2024-09-27 10:02,2024-09-27 11:31,2024-09-27 15:02,2024-09-27 15:02,0,0,0,0,0,On-time,188
FL0550,48,1,549,2024-09-26 14:12,2024-09-26 15:32,2024-09-26 15:12,2024-09-26 15:12,0,0,0,0,0,On-time,226
FL0570,52,1,568,2024-12-21 00:00,2024-12-21 00:00,2024-12-21 06:00,2024-12-21 06:36,36,27,2,4,3,Delayed,150
FL0184,53,1,184,2024-03-09 14:02,2024-03-09 14:52,2024-03-09 17:02,2024-03-09 18:55,113,11,7,42,53,Delayed,108
FL0241,54,1,241,2024-07-21 17:23,2024-07-21 19:01,2024-07-21 22:23,2024-07-21 23:38,75,7,60,0,8,Delayed,136
FL0829,54,1,825,2024-07-21 20:52,2024-07-21 22:05,2024-07-22 02:52,2024-07-22 03:26,34,33,0,1,0,Delayed,65
FL0061,57,1,61,2024-08-12 08:33,2024-08-12 08:33,2024-08-12 10:33,2024-08-12 10:33,0,0,0,0,0,On-time,162
FL0736,59,1,733,2024-05-15 02:35,2024-05-15 03:55,2024-05-15 03:35,2024-05-15 03:35,0,0,0,0,0,On-time,292
FL0624,60,1,622,2024-06-14 08:30,2024-06-14 08:30,2024-06-14 11:30,2024-06-14 11:30,0,0,0,0,0,On-time,74
FL0065,61,1,65,2024-06-04 04:26,2024-06-04 05:15,2024-06-04 10:26,2024-06-04 10:26,0,0,0,0,0,On-time,150
FL0380,62,1,380,2024-09-16 07:18,2024-09-16 07:18,2024-09-16 09:18,2024-09-16 09:18,0,0,0,0,0,On-time,287
FL0103,65,1,103,2024-08-07 11:57,2024-08-07 11:57,2024-08-07 17:57,2024-08-07 19:31,94,18,75,1,0,Delayed,264
FL0935,65,1,931,2024-08-07 02:40,2024-08-07 04:13,2024-08-07 08:40,2024-08-07 09:24,44,3,23,11,7,Delayed,217
FL0071,66,1,71,2024-02-04 07:03,2024-02-04 07:03,2024-02-04 10:03,2024-02-04 11:24,81,4,62,12,3,Delayed,243
FL0073,68,1,73,2024-11-18 06:01,2024-11-18 06:01,2024-11-18 10:01,2024-11-18 10:01,0,0,0,0,0,On-time,168
FL0848,69,1,844,2024-01-18 16:07,2024-01-18 16:24,2024-01-18 18:07,2024-01-18 18:07,0,0,0,0,0,On-time,83
FL0196,70,1,196,2024-06-07 01:37,2024-06-07 01:37,2024-06-07 05:37,2024-06-07 05:37,0,0,0,0,0,On-time,196
